"original_text","normalize_text","language","category","flag","last_update","remark"
" bgn","bangun ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" tido","tidur ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" bogel2","bogel-bogel ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" kakak2","kakak-kakak ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" blom","belum ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" dtgla","datang lah ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" ptg2","petang-petang ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" sket","sikit ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" wangi2","wangi-wangi ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" lawa2","lawa-lawa ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" xpakai","tak pakai ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
" pape","apa-apa ","Malay","VOC_EDITOR","1","2018-05-03 09:23:12",\N
"skang","sekarang","Malay","VOC_EDITOR","1","2018-05-03 10:52:21",\N
"ge14","14th Malaysian general election","English","VOC_EDITOR","1","2018-05-03 10:53:31",\N
"yeayy","yeah","Malay","VOC_EDITOR","1","2018-05-03 10:54:34",\N
"co tract","contractor","English","MANUAL_TAG","1","2017-09-06 10:06:23","-"
"wiye r","wire","English","MANUAL_TAG","1","2017-09-06 11:29:45","-"
" macam2","macam-macam ","Malay","VOC_EDITOR","1","2018-04-26 10:07:33",\N
" cgpa","Cumulative Grade Point Average ","Malay","VOC_EDITOR","1","2018-04-26 10:26:01",\N
" uni","universiti","Malay","VOC_EDITOR","1","2018-04-26 10:26:01",\N
" mmg"," memang","Malay","VOC_EDITOR","1","2018-04-26 10:39:15",\N
"sape","siapa","Malay","VOC_EDITOR","1","2018-04-26 10:46:17",\N
" u","you ","English","VOC_EDITOR","1","2018-04-26 12:18:53",\N
" sooooo","so ","English","VOC_EDITOR","1","2018-04-26 12:18:53",\N
" kdg2","kadang-kadang","English","VOC_EDITOR","1","2018-04-26 12:18:53",\N
"machaaammmm","macam","Malay","VOC_EDITOR","1","2018-04-26 12:19:52",\N
" epu","unit perancang ekonomi ","Malay","VOC_EDITOR","1","2018-04-26 12:39:42",\N
" jpm","jabatan perdana menteri","Malay","VOC_EDITOR","1","2018-04-26 12:39:42",\N
"bahanapi"," bahan api","Malay","VOC_EDITOR","1","2018-04-26 12:48:36",\N
" ustad","ustaz","Malay","VOC_EDITOR","1","2018-04-26 14:38:29",\N
" keja"," kerja ","Malay","VOC_EDITOR","1","2018-04-26 14:40:35",\N
" p.pinang"," pulau pinang ","Malay","VOC_EDITOR","1","2018-04-26 14:40:35",\N
" seorang2","seorang-seorang","Malay","VOC_EDITOR","1","2018-04-26 14:41:36",\N
"uum","universiti utara malaysia ","Malay","VOC_EDITOR","1","2018-04-26 14:54:34",\N
" kafe2","kafe-kafe ","Malay","VOC_EDITOR","1","2018-04-26 14:54:34",\N
" sbb","sebab ","Malay","VOC_EDITOR","1","2018-04-26 14:54:34",\N
" bkn","bukan ","Malay","VOC_EDITOR","1","2018-04-26 14:54:34",\N
" bnm"," bank negara malaysia","Malay","VOC_EDITOR","1","2018-04-26 15:09:16",\N
" hb","hari bulan ","Malay","VOC_EDITOR","1","2018-04-26 15:23:47",\N
"mc "," medical certificate ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" pd"," pada ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" btol2"," betul-betul ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" sume"," semua ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" hampeh"," sampah ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" kelapo"," kelapa ","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" berguno"," berguna","Malay","VOC_EDITOR","1","2018-04-26 15:29:09",\N
" ptptn"," perbadanan tabung pendidikan tinggi nasional","Malay","VOC_EDITOR","1","2018-04-26 16:24:38",\N
" bawak"," bawa ","Malay","VOC_EDITOR","1","2018-04-26 17:14:00",\N
